;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.2.2  Brasil: Dispêndios do governo federal em ciência e tecnologia (C&T)(1)(2) por órgão, 2000-2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  (em milhões de R$ correntes);;;;;;
Min. da Economia;4,6;-;4,6;-;-;-;-;-;-;-;-;-;3,4;-;3,4;1,5;-;1,5;1,2;-;1,2;-;-;-;2,2;-;2,2;2,0;-;2,0;2,9;-;2,9;-; - ;-;-; - ;-;0,04; - ;0,04;0,20; - ;0,20;0,11; - ;0,11;0,1;-;0,1;0,03;-;0,03;-;-;-;2.400,9;7,0;2.393,9;;;;;;
Min. Do Desenvolvimento Regional;34,3;30,2;4,1;8,3;6,5;1,8;4,4;1,9;2,4;0,4;0,1;0,3;9,4;8,3;1,1;12,2;5,5;6,7;9,5;2,8;6,8;3,9;1,3;2,6;91,1;0,9;90,2;98,8;0,9;98,0;9,6;0,4;9,2;12,0; 1,0 ;11,0;9,2; 1,4 ;7,8;57,8; 3,4 ;54,4;9,7; 1,4 ;8,3;15,6; 0,8 ;14,8;9,1;3,9;5,3;5,8;-;5,8;11,9;0,7;11,2;43,0;3,7;39,3;;;;;;
Min. da Justiça e Segurança Pública;1,1;-;1,1;0,6;-;0,6;0,7;-;0,7;0,1;-;0,1;0,2;-;0,2;0,4;0,1;0,3;0,4;0,1;0,3;0,3;-;0,3;2,9;2,6;0,3;1,0;0,6;0,5;0,6;-;0,6;1,0; 0,8 ;0,3;21,9; 18,4 ;3,5;3,3; 2,5 ;0,8;8,6; 8,3 ;0,3;10,2; 10,0 ;0,2;15,7;15,0;0,6;1,5;1,4;0,2;1,6;1,4;0,2;104,2;0,2;104,0;;;;;;
Min. da Aquicultura, Pecuária e Abastecimento;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5,8;5,8;-;6,8; 6,8 ;-;8,2; 8,2 ;-;10,6; 10,1 ;0,5;0,9; 0,5 ;0,4;6,7; 6,1 ;0,6;-; - ;-;-;-;-;-; - ;-;-; - ;-;;;;;;
Min. da Previdência ;-;-;-;-;-;-;-;-;-;-;-;-;0,4;-;0,4;0,2;-;0,2;0,4;-;0,4;0,7;-;0,7;0,8;-;0,8;1,2;-;1,2;0,2;-;0,2;-; - ;-;0,1; - ;0,1;0,04; - ;0,04;-; - ;-;-; - ;-;-; - ;-;-;-;-;-; - ;-;-; - ;-;;;;;;
Min. da Saúde;321,7;267,3;54,4;444,7;316,3;128,4;482,5;354,8;127,7;546,3;407,6;138,8;720,8;615,4;105,4;767,7;611,4;156,3;964,0;803,7;160,2;1.156,0;941,3;214,8;1.175,0;935,3;239,7;1.367,8;1.122,8;245,0;1.423,0;1.140,6;282,4;1.610,0; 1.285,6 ;324,4;2.072,3; 1.415,2 ;657,1;2.230,2; 1.574,0 ;656,2;2.305,4; 1.725,4 ;580,1;1.943,6; 1.662,5 ;281,1;2.629,7;2.367,0;262,7;2.480,0;2.165,6;314,4;2.531,8;2.204,0;327,8;2.493,7;1.977,4;516,3;;;;;;
Min. das Cidades;-;-;-;-;-;-;-;-;-;-;-;-;0,01;-;0,01;3,3;1,5;1,8;0,5;0,1;0,4;0,1;-;0,1;1,9;-;1,9;3,5;-;3,5;1,6;-;1,6;5,1; - ;5,1;10,9; 5,0 ;5,9;0,5; - ;0,5;4,6; 4,6 ;-;-; - ;-;-; - ;-;-;-;-;-;-;-;-;-;-;;;;;;
Min. das Comunicações;-;-;-;47,8;47,8;-;106,3;106,3;-;153,7;153,7;-;105,1;105,1;-;105,4;105,4;-;130,8;130,8;-;188,2;188,2;-;88,4;88,4;-;39,8;39,8;-;104,3;100,2;4,1;121,3; 120,2 ;1,1;322,3; 284,1 ;38,2;302,6; 202,0 ;100,6;244,5; 178,1 ;66,5;281,0; 200,0 ;81,0;263,1;229,1;34,0;-;-;-;-;-;-;-;-;-;;;;;;
Min. das Relações Exteriores;0,9;-;0,9;1,6;-;1,6;3,5;-;3,5;3,2;-;3,2;3,6;-;3,6;2,8;-;2,8;3,7;-;3,7;8,4;-;8,4;9,6;0,7;9,0;11,2;1,7;9,6;15,6;0,4;15,3;11,3; 0,1 ;11,2;11,7; 0,5 ;11,2;12,9; - ;12,9;8,0; - ;8,0;5,9; - ;5,9;8,0;-;8,0;7,8;-;7,8;8,1;-;8,1;13,0;1,3;11,7;;;;;;
Min. de Minas e Energia;116,1;-;116,1;142,3;0,2;142,1;124,7;0,7;124,1;120,9;0,3;120,7;153,3;0,0;153,2;175,8;0,0;175,7;163,6;-;163,5;211,4;0,0;211,3;225,0;-;225,0;303,5;0,0;303,5;342,5;-;342,5;418,4; - ;418,4;446,3; 0,01 ;446,3;535,3; 0,8 ;534,5;462,4; 0,3 ;462,1;485,4; 0,5 ;484,9;500,5;0,3;500,1;530,2;-;530,2;586,8;-;586,8;517,3;0,5;516,8;;;;;;
Min. da Indústria, Comércio Exterior e Serviços;204,2;-;204,2;250,4;0,9;249,5;266,8;0,3;266,5;267,3;-;267,3;355,6;-;355,6;373,5;-;373,5;432,0;-;432,0;487,5;0,3;487,2;556,4;-;556,4;657,1;-;657,1;782,4;0,5;781,8;778,0; 0,5 ;777,5;1.041,5; 1,9 ;1.039,6;982,5; 3,1 ;979,4;1.107,5; 0,1 ;1.107,4;1.022,4; 2,8 ;1.019,6;1.044,5;4,2;1.040,3;989,5;3,8;985,7;916,0;3,0;913,0;-;-;-;;;;;;
Min. do Desenvolvimento Agrário;-;-;-;0,3;-;0,3;-;-;-;-;-;-;2,7;0,4;2,3;2,9;0,1;2,8;7,1;2,8;4,3;13,8;8,7;5,1;27,8;22,4;5,4;41,1;28,5;12,6;39,8;21,4;18,4;28,3; 13,4 ;14,9;19,4; 13,0 ;6,4;16,1; 8,4 ;7,7;17,9; 6,0 ;11,9;8,0; 8,0 ;-;8,7;2,8;5,9;-;-;-;-;-;-;-;-;-;;;;;;
Min. do Desenvolvimento Social e Combate à Fome;-;-;-;-;-;-;-;-;-;-;-;-;9,8;4,9;4,9;5,2;2,6;2,5;7,7;2,1;5,6;2,7;1,2;1,5;3,5;0,4;3,1;5,2;0,5;4,8;3,3;0,5;2,8;3,9; 2,0 ;1,9;1,0; 1,0 ;-;10,9; - ;10,9;7,9; 0,2 ;7,7;7,8; 1,4 ;6,4;-; - ;-;-;-;-;-;-;-;-;-;-;;;;;;
Min. do Esporte;2,3;-;2,2;3,5;0,7;2,8;3,0;0,8;2,2;0,6;0,3;0,3;1,4;-;1,4;1,1;-;1,1;6,3;6,0;0,3;6,5;5,9;0,6;-;-;-;0,1;-;0,1;2,1;-;2,1;0,1; - ;0,1;1,5; 1,5 ;-;2,6; - ;2,6;0,8; - ;0,8;-; - ;-;1,9; - ;1,9;-;-;-;-;-;-;-;-;-;;;;;;
Min. do Meio Ambiente;18,7;7,8;10,8;23,0;10,1;12,9;23,4;9,9;13,5;36,9;19,0;18,0;52,9;23,7;29,2;51,4;27,1;24,4;57,8;31,9;26,0;57,3;33,8;23,6;47,8;31,9;15,9;52,9;37,8;15,2;60,2;44,0;16,1;73,0; 54,7 ;18,4;82,4; 61,9 ;20,4;83,8; 56,3 ;27,5;81,8; 54,3 ;27,5;84,4; 13,6 ;70,9;87,8;58,4;29,4;89,6;52,1;37,5;81,4;51,4;30,0;73,2;51,7;21,5;;;;;;
Min. do Planejamento, Orçamento e Gestão;808,1;0,2;808,0;450,9;0,2;450,7;441,6;0,2;441,4;454,5;0,2;454,4;547,1;-;547,1;531,1;0,3;530,9;819,1;0,2;818,9;1.217,3;0,3;1.217,0;973,5;3,5;970,1;1.092,2;2,4;1.089,8;2.207,9;0,5;2.207,4;1.009,3; 1,0 ;1.008,3;1.013,6; 0,3 ;1.013,2;1.163,7; 0,8 ;1.163,0;1.217,8; 0,8 ;1.217,0;1.236,4; 1,0 ;1.235,4;1.512,0;0,3;1.511,7;1.775,8;-;1.775,8;1.599,0;0,2;1.598,8;-;-;-;;;;;;
Min. do Trabalho e Emprego;16,3;-;16,3;17,8;-;17,8;16,2;-;16,2;3,8;-;3,8;8,2;-;8,2;9,8;-;9,8;9,2;0,4;8,8;12,6;-;12,6;14,5;-;14,5;13,8;-;13,8;10,4;2,4;8,0;17,4; 3,4 ;14,0;9,9; 2,2 ;7,7;14,5; 4,3 ;10,2;22,1; 4,0 ;18,1;13,3; 6,5 ;6,8;8,0; - ;8,0;4,8;-;4,8;1,6;-;1,6;-;-;-;;;;;;
Min. do Turismo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,4;-;0,4;0,3;-;0,3;0,8;0,3;0,5;-;-;-;0,2;-;0,2;-;-;-;-; - ;-;-; - ;-;1,1; 0,3 ;0,8;0,2; - ;0,2;3,1; - ;3,1;0,8; - ;0,8;0,4;-;0,4;-;-;-;2,2;-;2,2;;;;;;
Min. dos Transportes, Portos e Aviação;-;-;-;0,3;-;0,3;-;-;-;-;-;-;27,1;-;27,1;2,6;-;2,6;2,8;-;2,8;6,8;1,1;5,7;4,2;-;4,2;8,0;-;8,0;4,5;-;4,5;7,0; - ;7,0;25,8; - ;25,8;0,04; - ;0,04;-; - ;-;-; - ;-;0,4; - ;0,4;-;-;-;-;-;-;-;-;-;;;;;;
Ministério Público da União;-;-;-;-;-;-;-;-;-;-;-;-;0,1;-;0,1;0,1;-;0,1;0,2;-;0,2;0,2;-;0,2;0,3;-;0,3;0,2;-;0,2;0,1;-;0,1;0,4; 0,1 ;0,3;0,2; 0,1 ;0,2;0,1; 0,1 ;-;-; - ;-;-; - ;-;-; - ;-;-;-;-;-;-;-;-;-;-;;;;;;
Presidência da República;1,5;0,9;0,6;1,7;1,6;0,1;10,8;10,3;0,6;15,6;11,7;3,9;14,9;13,1;1,8;19,5;14,3;5,2;15,1;14,6;0,5;16,1;15,5;0,6;45,7;20,3;25,4;187,7;23,1;164,6;227,9;25,0;202,9;203,6; 15,9 ;187,7;213,6; 20,1 ;193,5;18,6; 16,1 ;2,5;19,0; 19,0 ;-;19,75; 19,0 ;0,74;19,0;18,6;0,4;19,6;19,0;0,6;21,7;21,7;-;25,8;25,4;0,37;;;;;;
Secretaria de Assuntos Estratégicos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,5;-;0,5;0,2;-;0,2;1,6;;1,6;1,7; - ;1,7;182,3; 0,1 ;182,1;182,6; - ;182,6;177,8; 47,7 ;130,1;-; - ;-;-; - ;-;-; - ;-;-;-;-;;;;;;
Secretaria de Aviação Civil;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,2; - ;0,2;0,2; - ;0,2;0,05; - ;0,05;-; - ;-;-; - ;-;-; - ;-;-;-;-;;;;;;
Secretaria de Políticas de Promoção da Igualdade Racial;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,03; - ;0,03;0,15; - ;0,15;-; - ;-;-; - ;-;-; - ;-;-; - ;-;-;-;-;;;;;;
Secretaria de Políticas para as Mulheres;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2,73; 2,2 ;0,49;3,01; 2,6 ;0,40;-; - ;-;-; - ;-;-; - ;-;-; - ;-;-;-;-;;;;;;
Supremo Tribunal Federal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,1; - ;1,1;1,1; - ;1,1;-; - ;-;-; - ;-;-; - ;-;-; - ;-;-;-;-;;;;;;
Ministério da Cidadania;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;112,1;8,0;104,1;;;;;;
Conselho Nacional de Justiça;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7,7;7,7;0,03;;;;;;
Tribunal Superior do Trabalho;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,9; - ;0,9;-; - ;-;-; - ;-;-; - ;-;-; - ;-;-; - ;-;0,6; -   ;0,6;;;;;;
"Fonte:  Sistema Integrado de Administração Financeira do Governo Federal (Siafi). Extração especial realizada pelo Serviço Federal de Processamento de Dados - Serpro;
número de docentes NRD3 e número de docentes permanentes da pós-graduação: http://geocapes.capes.gov.br/geocapesds/;
funções docentes em exercício: Sinopse Estatística da Educação Superior, do Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira (INEP), do Ministério da Educação (MEC), extração especial.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Elaboração: Coordenação de Indicadores de Ciência, Tecnologia e Inovação (COICT) - CGPI/DGI/SEXEC -  Ministério da Ciência, Tecnologia e Inovações (MCTI);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Notas: (1) ciência e tecnologia (C&T) = pesquisa e desenvolvimento (P&D) + atividades científicas e técnicas correlatas (ACTC);";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"(2) computados os valores de empenhos liquidados dos recursos do Tesouro e de outras fontes dos orçamentos fiscal e de seguridade social deduzindo-se as despesas com juros e amortização de dívidas, com o cumprimento de sentenças judiciais e com inativos e pensionistas;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(3) considerados os gastos da pós-graduação como proxy dos dispêndios em P&D das instituições de ensino superior (IES), sendo que:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dos recursos anuais executados pelas instituições federais e estaduais com pós-graduação stricto sensu reconhecida pela CAPES, subtraem-se as despesas com juros e amortizações de dívidas, com o cumprimento de sentenças judiciais, com inativos e pensionistas e com a manutenção dos hospitais universitários, para estimar a parcela direcionada à pós-graduação multiplicando este resultado pelo quociente número de docentes da pós-graduação / número de docentes das IES do respectivo ano, à exceção dos anos de 2004 a 2006 nas instituições federais, quando foi empregado o quociente de 2003.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
